resonance,energy,part3_absT2,bw_theta_0.05,bw_theta_0.10,bw_theta_0.15,bw_theta_0.20,bw_theta_0.25
2,1.36049692885097,0.275677984696086,0.177083199967445,0.177083224283952,0.177083224981346,0.177083218678596,0.177083226281098
2,1.36065257087432,0.274155068697648,0.175728241626564,0.175728266394842,0.175728267080536,0.175728260823805,0.175728268391853
2,1.36080821289767,0.27264781506284,0.174387686029018,0.174387711237319,0.174387711911499,0.174387705700369,0.174387713234021
2,1.36096385492101,0.271154855768013,0.173061347378319,0.173061373015139,0.173061373677989,0.173061367512044,0.173061375011363
2,1.36111949694436,0.269676028996704,0.171749042499996,0.171749068554071,0.171749069205772,0.171749063084601,0.171749070549652
2,1.3612751389677,0.268210331741379,0.170450590806778,0.170450617267081,0.170450617907809,0.170450611831004,0.170450619261859
2,1.36143078099105,0.266760135374266,0.169165814263997,0.169165841119729,0.16916584174966,0.169165835716817,0.169165843113548
2,1.3615864230144,0.265323321654811,0.167894537355249,0.167894564595836,0.167894565215141,0.167894559225859,0.167894566588546
2,1.36174206503774,0.263901108307759,0.16663658704827,0.166636614663362,0.16663661527221,0.166636609326091,0.166636616654815
2,1.36189770706109,0.262492213731077,0.16539179276111,0.165391820740572,0.165391821339129,0.165391815435779,0.165391822730625
2,1.36205334908444,0.261096488007736,0.164159986328551,0.164160014662461,0.164160015250889,0.164160009389919,0.164160016650976
2,1.36220899110778,0.259713783049222,0.162941001968806,0.16294103064745,0.162941031225911,0.162941025406934,0.162941032634292
2,1.36236463313113,0.258343952549252,0.16173467625053,0.161734705264398,0.161734705833048,0.16173470005568,0.161734707249436
2,1.36252027515447,0.256987322709911,0.160540848060091,0.160540877399872,0.160540877958868,0.16054087222273,0.160540879382979
2,1.36267591717782,0.25564441027318,0.159359358569181,0.15935938822576,0.159359388775254,0.159359383079969,0.159359390206813
2,1.36283155920117,0.254313862568751,0.158190051202714,0.158190081167167,0.158190081707309,0.158190076052506,0.158190083146047
2,1.36298720122451,0.252995591396192,0.157032771607038,0.157032801870632,0.157032802401569,0.157032796786878,0.157032803847221
2,1.36314284324786,0.251689459678378,0.155887367618494,0.155887398172677,0.155887398694554,0.155887393119609,0.155887400146863
2,1.36329848527121,0.250395332017792,0.154753689232264,0.154753720068666,0.154753720581627,0.154753715046065,0.15475372204034
2,1.36345412729455,0.249113553949491,0.153631588571584,0.153631619682011,0.153631620186195,0.153631614689658,0.153631621651066
