E,T_real,T_imag,R_real,R_imag,absT2,absR2,unitarity_error
0.6212429741176742,-0.01829451773313249,-0.20868962840218427,-0.9740751058370782,0.08539108738327139,0.043886050381729644,0.9561139496160125,2.257860565180181e-12
0.6212479772446284,-0.017231390857426726,-0.2051637772988893,-0.9751426425648501,0.08190073422105583,0.042389096346429664,0.9576109036143072,3.9263148288171124e-11
0.6212529803715828,-0.016229032338383312,-0.20175019663067958,-0.9761494096319865,0.07852265136317367,0.040966523331158175,0.9590334767019786,3.313682661598705e-11
0.6212579834985371,-0.015283257568852874,-0.19844387678927503,-0.9770995916440881,0.07525182920672986,0.039613550197072876,0.9603864497900025,1.2924550318871297e-11
0.6212629866254915,-0.014390222592124679,-0.19524008310191823,-0.9779970325593845,0.0720835330819125,0.038325768555894826,0.9616742314365332,7.571943072548493e-12
0.6212679897524459,-0.01354639239079936,-0.1921343386644812,-0.9788452673941528,0.06901328607943455,0.037099108840843074,0.9629008911554126,3.744338172850803e-12
0.6212729928794002,-0.012748512197952236,-0.18912240859725607,-0.9796475509153483,0.06603685332077425,0.0359298099968888,0.9640701900109495,7.83839659845853e-12
0.6212779960063546,-0.011993581838274764,-0.18620028475391168,-0.9804068832987037,0.06315022666256485,0.03481439204774919,0.9651856079470115,5.239364497811039e-12
0.6212829991333089,-0.01127883300677882,-0.18336417291751433,-0.9811260328489991,0.06034961189014574,0.0337496319837189,0.9662503679893067,2.697431167320019e-11
0.6212880022602633,-0.010601708393347564,-0.1806104788269973,-0.9818075568764931,0.05763141473087545,0.0327325412829748,0.9672674587036706,1.3354650718611083e-11
0.6212930053872175,-0.009959843399841435,-0.17793579690447628,-0.9824538199800174,0.05499222961775781,0.03176034630058039,0.9682396537116603,1.2240652935702201e-11
0.6212980085141719,-0.009351048953583851,-0.17533689709842987,-0.9830670112308442,0.052428826493150595,0.030830469600637702,0.9691695304177939,1.8431478565617e-11
0.6213030116411263,-0.00877329694036806,-0.17281071642862356,-0.98364915874476,0.0499381423844355,0.029940514451778005,0.9700594855640821,1.585997999598021e-11
0.6213080147680806,-0.00822470623639104,-0.17035434749664893,-0.9842021436440814,0.04751726988221641,0.029088249503683952,0.9709117504906647,5.651368262249434e-12
0.621313017895035,-0.007703530718554934,-0.16796503073435443,-0.984727712053276,0.04516344943133551,0.028271595935124343,0.9717284040502164,1.4659273794848104e-11
0.6213180210219893,-0.00720814756800152,-0.16564014311887712,-0.9852274867900432,0.042874057996184586,0.027488614403804186,0.972511385575685,2.0510815268437455e-11
0.6213230241489437,-0.006737047826631472,-0.1633771932154821,-0.9857029768131352,0.04064660415089531,0.0267374950763873,0.9732625049272757,3.6630698474482415e-12
0.621328027275898,-0.006288826662780255,-0.16117381076294998,-0.9861555869545381,0.03847871762668117,0.026016546616645708,0.9739834533918432,8.488987290888872e-12
0.6213330304028524,-0.005862175379603409,-0.1590277414975392,-0.9865866259112356,0.03636814416995207,0.025324187665989383,0.9746758123372828,3.2722713427801864e-12
0.6213380335298067,-0.005455873666275024,-0.15693683958584317,-0.9869973139925384,0.03431273793716864,0.024658938176655026,0.9753410618132304,1.0114575843545026e-11
0.621343036656761,-0.005068782760230084,-0.154899061859973,-0.9873887899627083,0.0323104557677881,0.024019411923770145,0.9759805880959437,1.9713786159059055e-11
0.6213480397837154,-0.00469983916077042,-0.15291246160658048,-0.9877621173215482,0.03035935093903296,0.02340430940272106,0.9765956906049872,7.708278459972462e-12
0.6213530429106697,-0.004348048739357708,-0.1509751829910524,-0.9881182901985857,0.028457567626330327,0.022812411407021584,0.9771875885801836,1.2794765247292617e-11
0.6213580460376241,-0.004012481781956403,-0.1490854572560777,-0.9884582383066521,0.0266033370647495,0.0222425735753043,0.9777574264192709,5.42477174292344e-12
0.6213630491645784,-0.0036922678852293884,-0.1472415961134458,-0.9887828320501244,0.024794970974527587,0.0216937204681714,0.9783062795426923,1.0863754340562082e-11
0.6213680522915328,-0.0033865917031340328,-0.1454419881352638,-0.989092886774508,0.02303085791803903,0.021164840916101952,0.9788351590843709,4.729550084903167e-13
0.6213730554184871,-0.0030946890188254875,-0.14368509538694604,-0.989389166696295,0.021309459968396872,0.020654983736479022,0.9793450162601337,3.3872904481313526e-12
0.6213780585454415,-0.002815842774089173,-0.1419694475488353,-0.9896723888749542,0.019629306801766618,0.02016325300784989,0.9798367469869766,5.1734172501483044e-12
