energy,transmission,reflection,unitarity_error
0.301066666667,6.79218194587e-11,0.999999999932,1.83075776761e-13
0.303,7.15063297844e-11,0.999999999929,5.1803006329e-13
0.304933333333,7.52823967907e-11,0.999999999925,4.50750547998e-14
0.306866666667,7.92604972907e-11,0.999999999921,2.37476704967e-13
0.3088,8.34517001786e-11,0.999999999916,4.19664303308e-13
0.310733333333,8.78677012798e-11,0.999999999912,2.70894418009e-14
0.312666666667,9.25208603989e-11,0.999999999907,8.48876524628e-13
0.3146,9.7424240635e-11,0.999999999902,3.40172334745e-13
0.316533333333,1.02591650186e-10,0.999999999896,1.0368372827e-12
0.318466666667,1.08037686727e-10,0.999999999896,3.79229980751e-12
0.3204,1.13777784637e-10,0.999999999886,8.78186412478e-14
0.322333333333,1.19828265142e-10,0.999999999879,1.49913415015e-12
0.324266666667,1.26206389684e-10,0.999999999877,3.37396777184e-12
0.3262,1.32930416637e-10,0.999999999867,3.47499806708e-13
0.328133333333,1.40019661691e-10,0.999999999865,5.13544762271e-12
0.330066666667,1.47494562041e-10,0.999999999849,3.21065396491e-12
0.332,1.55376744758e-10,0.999999999844,4.46642722807e-13
0.333933333333,1.63689099508e-10,0.999999999833,2.98494562401e-12
0.335866666667,1.72455856035e-10,0.99999999983,2.64610555689e-12
0.3378,1.81702666616e-10,0.999999999819,1.1675105327e-12
0.339733333333,1.91456693955e-10,0.99999999981,1.52011736532e-12
0.341666666667,2.01746704756e-10,0.999999999805,6.33293417707e-12
0.3436,2.12603169512e-10,0.99999999979,2.56394905307e-12
0.345533333333,2.24058368813e-10,0.999999999775,1.27364785385e-12
0.347466666667,2.36146506763e-10,0.999999999771,6.68798350034e-12
0.3494,2.48903831839e-10,0.999999999755,3.45035111593e-12
0.351333333333,2.62368765974e-10,0.999999999734,3.70992125909e-12
0.353266666667,2.76582042067e-10,0.999999999723,4.42978986825e-13
